,title,price,link,pic
48,【Apple 蘋果】HomePod mini 智慧音箱,2799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8942548&Area=search&oid=1_26&cid=index&kw=apple,https://i4.momoshop.com.tw/1693075879/goodsimg/0008/942/548/8942548_OL.webp
43,【Apple 蘋果】Apple Pencil 第二代(MU8F2),4390,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7354365&Area=search&oid=1_21&cid=index&kw=apple,https://i1.momoshop.com.tw/1692810704/goodsimg/0007/354/365/7354365_OL.webp
50,【Apple 蘋果】1M快充傳輸線組AirPods 3(Lightning充電盒),4999,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11525764&Area=search&oid=1_28&cid=index&kw=apple,https://i4.momoshop.com.tw/1692546750/goodsimg/0011/525/764/11525764_OL.webp
9,Apple Watch SE GPS 40mm Starlight Aluminium Case Starlight Sport Band - Regular,7289,https://24h.pchome.com.tw/prod/DYAJGA-1900GYGC6,https://img.pchome.com.tw/cs/items/DYAJGA1900GYGC6/000001_1701248850.jpg?width=320
40,【Apple 蘋果】1M快充線組AirPods Pro 2 (USB-C充電盒),7490,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12345998&Area=search&oid=1_19&cid=index&kw=apple,https://i1.momoshop.com.tw/1705045806/goodsimg/0012/345/998/12345998_OL.webp
2,Apple Watch SE GPS 44mm Midnight(鋁午夜 S/M),8900,https://online.carrefour.com.tw/zh/apple%E8%98%8B%E6%9E%9C/4260202500101.html,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8c11702c/images/large/42602025001-002-P1.jpg?sw=300&bgcolor=FFFFFF
44,【Apple】2021 iPad 9 10.2吋/WiFi/64G(三折防摔殼+鋼化保貼組),10290,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12241726&Area=search&oid=1_22&cid=index&kw=apple,https://i1.momoshop.com.tw/1703057507/goodsimg/0012/241/726/12241726_OL.webp
32,【Apple】Apple Watch S8 GPS 41mm(鋁金屬錶殼搭配運動型錶帶),10899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12290424&Area=search&oid=1_15&cid=index&kw=apple,https://i2.momoshop.com.tw/1705610646/goodsimg/0012/290/424/12290424_OL.webp
34,【Apple】Apple Watch S8 GPS 45mm(鋁金屬錶殼搭配運動型錶帶),11799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12290423&Area=search&oid=1_16&cid=index&kw=apple,https://i1.momoshop.com.tw/1705610587/goodsimg/0012/290/423/12290423_OL.webp
23,Apple Watch Series 9 GPS 41mm 粉紅色鋁金屬錶殼,12589,https://24h.pchome.com.tw/prod/DYAJD5-1900GOBKS,https://img.pchome.com.tw/cs/items/DYAJD51900GOBKS/000001_1702958139.jpg?width=320
49,鋼化保貼組【Apple 蘋果】Apple Watch S9 GPS 41mm(鋁金屬錶殼搭配運動型錶帶),12899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11860307&Area=search&oid=1_27&cid=index&kw=apple,https://i2.momoshop.com.tw/1694691413/goodsimg/0011/860/307/11860307_OL.webp
31,Apple 第十代 iPad 10.9吋 64G WiFi 黃色,13590,https://24h.pchome.com.tw/prod/DYAJG2-1900GSEAU,https://img.pchome.com.tw/cs/items/DYAJG21900GSEAU/000001_1704253630.jpg?width=320
11,Apple 第十代 iPad 10.9吋 64G WiFi 藍色,13590,https://24h.pchome.com.tw/prod/DYAJG2-1900GSE8Z,https://img.pchome.com.tw/cs/items/DYAJG21900GSE8Z/000001_1704253655.jpg?width=320
37,Apple 第十代 iPad 10.9吋 64G WiFi 銀色 (MPQ03TA/A),13700,https://24h.pchome.com.tw/prod/DYAJG2-A900FU2WL,https://img.pchome.com.tw/cs/items/DYAJG2A900FU2WL/000001_1690164506.jpg?width=320
46,鋼化保貼組【Apple 蘋果】Apple Watch S9 GPS 45mm(鋁金屬錶殼搭配運動型錶帶),13899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11860311&Area=search&oid=1_24&cid=index&kw=apple,https://i3.momoshop.com.tw/1694691923/goodsimg/0011/860/311/11860311_OL.webp
36,充電支架組【Apple 蘋果】Apple Watch S9 GPS 45mm(鋁金屬錶殼搭配運動型錶帶),13899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11860662&Area=search&oid=1_17&cid=index&kw=apple,https://i1.momoshop.com.tw/1694692907/goodsimg/0011/860/662/11860662_OL.webp
42,【Apple】Watch Series 9 GPS版 45mm(鋁金屬錶殼搭配運動型錶環),13999,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11878468&Area=search&oid=1_20&cid=index&kw=apple,https://i2.momoshop.com.tw/1695201398/goodsimg/0011/878/468/11878468_OL.webp
52,【Apple】Watch Series 9 GPS版 45mm(鋁金屬錶殼搭配運動型錶帶),13999,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11878467&Area=search&oid=1_30&cid=index&kw=apple,https://i4.momoshop.com.tw/1695201398/goodsimg/0011/878/467/11878467_OL.webp
22,金屬錶帶組【Apple 蘋果】Apple Watch S9 GPS 45mm(鋁金屬錶殼搭配運動型錶帶),14099,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11861219&Area=search&oid=1_10&cid=index&kw=apple,https://i2.momoshop.com.tw/1694700351/goodsimg/0011/861/219/11861219_OL.webp
35,Apple 第六代 iPad mini 8.3 吋 64G WiFi 星光色 (MK7P3TA/A),15800,https://24h.pchome.com.tw/prod/DYAJK5-1900FSPF7,https://img.pchome.com.tw/cs/items/DYAJK51900FSPF7/000001_1677033643.jpg?width=320
47,【Apple】A級福利品 iPhone 13 Pro 128G 6.1吋(贈充電組+玻璃貼+保護殼),16888,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10339177&Area=search&oid=1_25&cid=index&kw=apple,https://i4.momoshop.com.tw/1700476868/goodsimg/0010/339/177/10339177_OL.webp
21,"Mac mini: Apple M2 chip with 8‑core CPU and 10‑core GPU, 256GB SSD",17388,https://24h.pchome.com.tw/prod/DYAJC4-1900GG19R,https://img.pchome.com.tw/cs/items/DYAJC41900GG19R/000001_1700028431.jpg?width=320
51,【Apple】iPhone 13 (128G/6.1吋),19900,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10951563&Area=search&oid=1_29&cid=index&kw=apple,https://i4.momoshop.com.tw/1692393302/goodsimg/0010/951/563/10951563_OL.webp
39,Apple iPhone 13 (128G)-午夜色(MLPF3TA/A),20388,https://24h.pchome.com.tw/prod/DYAJJV-1900H28NH,https://img.pchome.com.tw/cs/items/DYAJJV1900H28NH/000001_1706610667.jpg?width=320
41,Apple iPhone 13 (128G)-星光色(MLPG3TA/A),20388,https://24h.pchome.com.tw/prod/DYAJDM-1900EZVYU,https://img.pchome.com.tw/cs/items/DYAJDM1900EZVYU/000001_1700821112.jpg?width=320
45,【Apple】Apple Watch Ultra 49mm 鈦金屬錶殼+高山錶環,22900,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12287280&Area=search&oid=1_23&cid=index&kw=apple,https://i4.momoshop.com.tw/1706756763/goodsimg/0012/287/280/12287280_OL.webp
25,Apple iPhone 14 (128G)-藍色(MPVN3TA/A),22999,https://24h.pchome.com.tw/prod/DYAJ3Q-1900FH43W,https://img.pchome.com.tw/cs/items/DYAJ3Q1900FH43W/000001_1707062781.jpg?width=320
19,Apple iPhone 14 (128G)-紫色(MPV03TA/A),22999,https://24h.pchome.com.tw/prod/DYAJ3Q-1900FH43V,https://img.pchome.com.tw/cs/items/DYAJ3Q1900FH43V/000001_1707062804.jpg?width=320
17,"Apple Watch Ultra 2 GPS + Cellular, 49mm",25900,https://24h.pchome.com.tw/prod/DYAJI3-1900GO8IZ,https://img.pchome.com.tw/cs/items/DYAJI31900GO8IZ/000001_1703736436.jpg?width=320
38,【Apple】iPhone 15(128G/6.1吋),27799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854637&Area=search&oid=1_18&cid=index&kw=apple,https://i3.momoshop.com.tw/1695670075/goodsimg/0011/854/637/11854637_OL.webp
33,Apple iPhone 15 (128G),27799,https://24h.pchome.com.tw/prod/DYAJDQ-1900GNTNS,https://img.pchome.com.tw/cs/items/DYAJDQ1900GNTNS/000001_1707105374.jpg?width=320
5,Apple iPhone 15 (128G),27799,https://24h.pchome.com.tw/prod/DYAJDQ-A900GNZX1,https://img.pchome.com.tw/cs/items/DYAJDQA900GNZX1/000001_1707215218.jpg?width=320
4,【Apple】iPhone 15(128G/6.1吋),27799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854637&Area=search&oid=1_1&cid=index&kw=apple,https://i3.momoshop.com.tw/1695670075/goodsimg/0011/854/637/11854637_OL.webp
24,【Apple】iPhone 15(128G/6.1吋),27799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11857730&Area=search&oid=1_11&cid=index&kw=apple,https://i2.momoshop.com.tw/1697706346/goodsimg/0011/857/730/11857730_OL.webp
20,【Apple】iPhone 15(128G/6.1吋),27799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11873135&Area=search&oid=1_9&cid=index&kw=apple,https://i1.momoshop.com.tw/1695703140/goodsimg/0011/873/135/11873135_OL.webp
27,Apple iPhone 15 (256G),31299,https://24h.pchome.com.tw/prod/DYAJKL-1900GNTP4,https://img.pchome.com.tw/cs/items/DYAJKL1900GNTP4/000001_1705768524.jpg?width=320
28,【Apple】iPhone 15(256G/6.1吋),31299,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11873136&Area=search&oid=1_13&cid=index&kw=apple,https://i4.momoshop.com.tw/1695727394/goodsimg/0011/873/136/11873136_OL.webp
29,Apple iPhone 15 (256G),31299,https://24h.pchome.com.tw/prod/DYAJKL-A900GO001,https://img.pchome.com.tw/cs/items/DYAJKLA900GO001/000001_1700821191.jpg?width=320
10,【Apple】iPhone 15(256G/6.1吋),31299,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854630&Area=search&oid=1_4&cid=index&kw=apple,https://i1.momoshop.com.tw/1695670011/goodsimg/0011/854/630/11854630_OL.webp
1,Apple iPad Pro 4th Wi-Fi 256G(11)(銀色),31400,https://online.carrefour.com.tw/zh/apple%E8%98%8B%E6%9E%9C/4500203900201.html,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw63a59b05/images/large/45002032-002039-002-P1.jpg?sw=300&bgcolor=FFFFFF
15,Apple iPhone 15 Plus (128G),31699,https://24h.pchome.com.tw/prod/DYAJKH-A900GNXFL,https://img.pchome.com.tw/cs/items/DYAJKHA900GNXFL/000001_1700821170.jpg?width=320
7,Apple iPhone 15 Plus (128G),31699,https://24h.pchome.com.tw/prod/DYAJKH-1900GNTQ1,https://img.pchome.com.tw/cs/items/DYAJKH1900GNTQ1/000001_1707186827.jpg?width=320
6,【Apple】iPhone 15 Plus(128G/6.7吋),31699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854634&Area=search&oid=1_2&cid=index&kw=apple,https://i2.momoshop.com.tw/1695670047/goodsimg/0011/854/634/11854634_OL.webp
14,【Apple】iPhone 15 Pro(128G/6.1吋),35500,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854647&Area=search&oid=1_6&cid=index&kw=apple,https://i3.momoshop.com.tw/1700074912/goodsimg/0011/854/647/11854647_OL.webp
13,Apple iPhone 15 Pro (128G),35500,https://24h.pchome.com.tw/prod/DYAJ95-A900GO07Q,https://img.pchome.com.tw/cs/items/DYAJ95A900GO07Q/000001_1707215526.jpg?width=320
3,Apple iPhone 15 Pro (128G),35500,https://24h.pchome.com.tw/prod/DYAJ95-1900GNTRJ,https://img.pchome.com.tw/cs/items/DYAJ951900GNTRJ/000001_1707186777.jpg?width=320
16,【Apple】iPhone 15 Pro(256G/6.1吋),39000,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854641&Area=search&oid=1_7&cid=index&kw=apple,https://i3.momoshop.com.tw/1700073129/goodsimg/0011/854/641/11854641_OL.webp
8,【Apple】iPhone 15 Pro(256G/6.1吋),39000,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854641&Area=search&oid=1_3&cid=index&kw=apple,https://i3.momoshop.com.tw/1700073129/goodsimg/0011/854/641/11854641_OL.webp
30,【Apple】iPhone 15 Pro(256G/6.1吋),39000,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11857861&Area=search&oid=1_14&cid=index&kw=apple,https://i4.momoshop.com.tw/1702998075/goodsimg/0011/857/861/11857861_OL.webp
18,【Apple】iPhone 15 Pro Max(256G/6.7吋),43500,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854650&Area=search&oid=1_8&cid=index&kw=apple,https://i1.momoshop.com.tw/1700075641/goodsimg/0011/854/650/11854650_OL.webp
12,【Apple】iPhone 15 Pro Max(256G/6.7吋),43500,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854650&Area=search&oid=1_5&cid=index&kw=apple,https://i1.momoshop.com.tw/1700075641/goodsimg/0011/854/650/11854650_OL.webp
26,【Apple】iPhone 15 Pro Max(256G/6.7吋),43500,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11857869&Area=search&oid=1_12&cid=index&kw=apple,https://i4.momoshop.com.tw/1701960188/goodsimg/0011/857/869/11857869_OL.webp
